assets/movies/The_Godfather.png,Крёстный отец
assets/movies/The_Shawshank_Redemption.png,Побег из Шоушенка
assets/movies/The_Dark_Knight.png,Бэтмэн
assets/movies/Pulp_Fiction.png,Криминальное чтиво
assets/movies/Forrest_Gump.png,Форэст Гамп
assets/movies/The_Matrix.png,Матрица
assets/movies/Titanic.png,Титаник
assets/movies/The_Lord_of_the_Rings_The_Fellowship_of_the_Ring.png,Властелин колец
assets/movies/Star_Wars_Episode_IV_A_New_Hope.png,Звёздные войны
assets/movies/Inception.png,Начало
assets/movies/Fight_Club.png,Бойцовский клуб
assets/movies/Back_to_the_Future.png,Назад в будущее
assets/movies/The_Silence_of_the_Lambs.png,Молчание ягнят
assets/movies/Saving_Private_Ryan.png,Спасение рядового Райана
assets/movies/Jurassic_Park.png,Парк юрского периода
assets/movies/Brat.png,Брат
assets/movies/Brat_2.png,Брат 2
assets/movies/Ironiya_sudby.png,Ирония судьбы или С лёгким паром!
assets/movies/Moskva_slezam_ne_verit.png,Москва слезам не верит
assets/movies/Lyubov_i_golubi.png,Любовь и голуби
